pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2024-09-29,87.9,-2.23,5.63,"Eovaldi, Nathan",683021,543135,single,hit_into_play,,,,,8,"Angels challenged (tag play), call on the field was upheld: Michael Stefanic singles on a line drive to left fielder Wyatt Langford. Matt Thaiss out at home on the throw, left fielder Wyatt Langford to catcher Jonah Heim.",R,R,R,LAA,TEX,X,7,line_drive,1,1,2024,-1.21,0.09,0.08,1.95,,642136,,2,7,Bot,62.91,109.5,,,,,8.155120802857134,-127.84054400395507,-3.075595174193181,-14.88949705181951,22.532697402648868,-30.742560427357983,3.29,1.53,169,99.6,8,88.8,1671,6.5,746174,641680,663993,543760,677649,669701,694671,665750,608671,53.98,0.643,0.615,0.9,1,1,0,4,56,3,Split-Finger,0,3,0,3,3,0,0,3,Standard,Standard,238,-0.038,0.7,66.2,7.0,0.767,-0.7,99.6,-3,-3,0.1034494911806473,0.1034494911806473,34,28,34,28,3,2,5,1,,,2.82,1.21,1.21,33.5,11.042704010874605,-7.576499282825855,32.17398528207055,38.0246743932786,36.5131316143491
FC,2024-09-29,87.5,-2.18,5.71,"Eovaldi, Nathan",683021,543135,,ball,,,,,12,Ball,R,R,R,LAA,TEX,B,,,0,1,2024,0.37,0.5,1.12,2.74,,642136,,2,7,Bot,,,,,,,7.268350474167629,-127.3883295283834,-2.165408042830107,2.8105647559506743,22.327468344285165,-26.475579271892222,3.29,1.51,,,,88.8,2251,6.7,746174,641680,663993,543760,677649,669701,694671,665750,608671,53.76,,,,,,,,56,2,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,171,-0.007,0.012,,,,-0.012,,-3,-3,0.1034494911806473,0.1034494911806473,34,28,34,28,3,2,5,1,,,2.44,-0.37,-0.37,36.7,,,,,
FF,2024-09-29,94.7,-2.3,5.43,"Eovaldi, Nathan",683021,543135,,foul,,,,,2,Foul,R,R,R,LAA,TEX,S,,,0,0,2024,-0.8,0.97,-0.15,3.04,,642136,,2,7,Bot,,,,,,,7.46055567513437,-137.73971670845103,-2.768912078842683,-11.783645452245697,29.17138399220811,-19.404261935413334,3.29,1.53,163,74.0,63,95.5,2087,6.7,746174,641680,663993,543760,677649,669701,694671,665750,608671,53.8,,,,,,,,56,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,228,-0.007,-0.04,64.0,6.2,,0.04,88.0,-3,-3,0.1034494911806473,0.1034494911806473,34,28,34,28,3,2,5,1,,,1.57,0.8,0.8,30.0,-0.1709150210170286,11.060080994463553,26.69709908558549,35.45546832211618,25.718385634286648
FF,2024-09-29,94.1,-2.36,5.45,"Eovaldi, Nathan",694359,543135,field_out,hit_into_play,,,,,5,Niko Kavadas flies out to left fielder Wyatt Langford.,R,L,R,LAA,TEX,X,7,fly_ball,0,1,2024,-1.29,1.0,0.13,2.53,,642136,,1,7,Bot,51.13,113.29,,,,,9.356834941946726,-136.79971233308575,-4.126632481821702,-18.21383200632144,28.56789353396223,-18.831807384398555,3.27,1.6,281,96.2,51,94.8,2253,6.6,746174,641680,663993,543760,677649,669701,694671,665750,608671,53.85,0.009,0.011,0.0,1,0,0,3,55,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,228,-0.05,-0.226,,,0.016,0.226,96.2,-3,-3,0.1460652844918052,0.1460652844918052,34,25,34,26,3,2,5,1,,,1.57,1.29,-1.29,30.8,,,,,
FS,2024-09-29,87.6,-2.36,5.51,"Eovaldi, Nathan",694359,543135,,called_strike,,,,,6,Called Strike,R,L,R,LAA,TEX,S,,,0,0,2024,-0.97,-0.23,0.44,2.17,,642136,,1,7,Bot,,,,,,,8.814400031600657,-127.34330581858616,-1.5232883520425906,-12.29688731947152,23.593811063864536,-34.59324957503108,3.27,1.67,,,,88.5,1515,6.7,746174,641680,663993,543760,677649,669701,694671,665750,608671,53.84,,,,,,,,55,1,Split-Finger,0,3,0,3,3,0,0,3,Infield shade,Standard,242,-0.012,-0.036,,,,0.036,,-3,-3,0.1460652844918052,0.1460652844918052,34,25,34,26,3,2,5,1,,,3.18,0.97,-0.97,31.2,,,,,
FF,2024-09-29,92.9,-2.38,5.39,"Eovaldi, Nathan",672569,543135,field_out,hit_into_play,,,,,11,"Gustavo Campero grounds out, third baseman Ezequiel Duran to first baseman Nathaniel Lowe.",R,L,R,LAA,TEX,X,5,ground_ball,1,2,2024,-0.73,0.96,-0.47,3.88,,642136,,0,7,Bot,109.83,162.93,,,,,6.503878095571187,-135.16632608392496,-0.2037465313050467,-10.297493767391783,27.74619620188524,-20.568273144262104,3.05,1.46,7,83.3,-27,93.4,2162,6.5,746174,641680,663993,543760,677649,669701,694671,665750,608671,54.03,0.037,0.062,0.0,1,0,0,2,54,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,222,-0.065,-0.123,57.4,5.2,0.037,0.123,88.0,-3,-3,0.1993236536301455,0.1993236536301455,34,26,34,27,3,2,5,1,,,1.67,0.73,-0.73,30.1,6.179397463776153,24.7349171433803,10.844528510227343,38.51026289791523,18.32091954012379
FS,2024-09-29,88.3,-2.4,5.5,"Eovaldi, Nathan",672569,543135,,foul,,,,,1,Foul,R,L,R,LAA,TEX,S,,,1,2,2024,-0.75,0.25,-0.41,2.74,,642136,,0,7,Bot,,,,,,,6.43798568806535,-128.55602808884666,-1.1996552745918223,-9.5535557955493,24.498657640239003,-29.38006345066397,3.05,1.46,220,82.2,57,89.0,1441,6.5,746174,641680,663993,543760,677649,669701,694671,665750,608671,53.98,,,,,,,,54,4,Split-Finger,0,3,0,3,3,0,0,3,Infield shade,Standard,240,-0.014,0.0,42.5,5.9,,0.0,88.0,-3,-3,0.1993236536301455,0.1993236536301455,34,26,34,27,3,2,5,1,,,2.65,0.75,-0.75,31.5,0.5491148765240406,11.555940528274803,27.494610863003967,36.93979661584888,16.989376679118635
CU,2024-09-29,76.5,-2.19,5.66,"Eovaldi, Nathan",672569,543135,,blocked_ball,,,,,14,Ball In Dirt,R,L,R,LAA,TEX,B,,,0,2,2024,1.21,-0.66,1.29,-0.13,,642136,,0,7,Bot,,,,,,,5.165171461084928,-111.18865309980352,-3.879270236068926,8.873900392241943,22.602802932466624,-37.01144310419031,3.05,1.44,,,,76.2,2034,6.4,746174,641680,663993,543760,677649,669701,694671,665750,608671,54.06,,,,,,,,54,3,Curveball,0,3,0,3,3,0,0,3,Infield shade,Standard,43,-0.014,0.031,,,,-0.031,,-3,-3,0.1993236536301455,0.1993236536301455,34,26,34,27,3,2,5,1,,,4.6,-1.21,1.21,35.4,,,,,
FC,2024-09-29,89.1,-2.41,5.65,"Eovaldi, Nathan",672569,543135,,foul,,,,,11,Foul,R,L,R,LAA,TEX,S,,,0,1,2024,0.3,0.65,-0.05,3.5,,642136,,0,7,Bot,,,,,,,5.202795843493456,-129.77135329224186,-0.6762213878437271,2.3413290617652525,25.25424978513131,-24.821006958927985,3.05,1.46,121,77.8,9,89.8,2064,6.5,746174,641680,663993,543760,677649,669701,694671,665750,608671,54.0,,,,,,,,54,2,Cutter,0,3,0,3,3,0,0,3,Infield shade,Standard,195,-0.014,-0.067,67.4,5.9,,0.067,88.0,-3,-3,0.1993236536301455,0.1993236536301455,34,26,34,27,3,2,5,1,,,2.2,-0.3,0.3,34.1,6.611602648493059,17.714736333333825,19.204586312542048,32.61232258209876,20.686935533693703
FS,2024-09-29,87.8,-2.36,5.53,"Eovaldi, Nathan",672569,543135,,foul,,,,,8,Foul,R,L,R,LAA,TEX,S,,,0,0,2024,-1.11,0.14,-0.16,1.48,,642136,,0,7,Bot,,,,,,,7.651235661815875,-127.66218998463802,-4.048938455693524,-13.633199135847528,23.911855963837517,-30.05893291023274,3.05,1.46,,,,88.5,1456,6.6,746174,641680,663993,543760,677649,669701,694671,665750,608671,53.93,,,,,,,,54,1,Split-Finger,0,3,0,3,3,0,0,3,Infield shade,Standard,240,-0.014,-0.035,58.0,6.8,,0.035,,-3,-3,0.1993236536301455,0.1993236536301455,34,26,34,27,3,2,5,1,,,2.8,1.11,-1.11,31.3,18.541963096855177,-1.3867605770627476,30.845397747741963,34.33320140066844,27.534009866155767
